"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.08479904995733e-28,-0.923633546539279,0.028,0.621,5.00878821741572e-24,"Cyto_5","CXCR4"
5.26508402995193e-26,-0.951012238556802,0.449,0.909,8.54891693943295e-22,"Cyto_5","TNFAIP2"
3.10679167684456e-25,-0.997287280093556,0.178,0.72,5.04449764569252e-21,"Cyto_5","IL7R"
3.7696687852871e-25,1.06754006767522,1,0.891,6.12081120667066e-21,"Cyto_5","CXCL14"
1.90084274322579e-23,-0.875939764444054,0.187,0.695,3.08639836217572e-19,"Cyto_5","IL2RB"
2.73944202275014e-23,-0.801202481944425,0.252,0.754,4.4480320123394e-19,"Cyto_5","TNFRSF1B"
5.70637374884245e-22,-0.807388916142138,0.065,0.578,9.26543905599549e-18,"Cyto_5","TNF"
3.95141624126946e-21,-0.75346126692402,0.075,0.564,6.41591455094922e-17,"Cyto_5","IL3RA"
4.81972309455902e-21,-0.707365459949587,0.037,0.521,7.82578438863548e-17,"Cyto_5","CXCR3"
1.33778793633004e-20,-0.673076415332212,0.093,0.588,2.17216627221908e-16,"Cyto_5","IL21R"
2.33343720067539e-18,-0.608854671730476,0.206,0.671,3.78880198273662e-14,"Cyto_5","IL4R"
1.1340831448409e-17,0.715062200523827,0.963,0.679,1.84141080227817e-13,"Cyto_5","CXCL12"
2.47169685009191e-17,-0.934992158951217,0.065,0.497,4.01329417549424e-13,"Cyto_5","CXCL11"
3.05856371822488e-17,-0.586304681942212,0.14,0.601,4.96618990928174e-13,"Cyto_5","TNFAIP8"
7.43417542376741e-16,-0.534398649030912,0.112,0.532,1.20708706355711e-11,"Cyto_5","IL27RA"
9.51899173840186e-15,-0.552132046406832,0.065,0.454,1.54559868856431e-10,"Cyto_5","TNFRSF4"
2.94033758631144e-14,-0.547905987543183,0.729,0.932,4.77422613889388e-10,"Cyto_5","ILF3"
9.96713381744765e-14,-0.486541746832742,0.112,0.496,1.61836351793897e-09,"Cyto_5","IFNAR2"
1.08577778989132e-13,-0.5882581302107,0.215,0.6,1.76297739744654e-09,"Cyto_5","TNFRSF6B"
1.11698208299496e-13,-0.482970231247374,0.187,0.592,1.81364380815891e-09,"Cyto_5","IL6R"
3.72081287408603e-13,-0.491247661449572,0.121,0.5,6.04148386365348e-09,"Cyto_5","TNFSF13"
4.66035865657843e-13,-0.499647051045835,0.028,0.375,7.5670243506864e-09,"Cyto_5","IL2RA"
9.00857208201584e-12,-0.560714954474479,0,0.313,1.46272184895691e-07,"Cyto_5","CXCL13"
1.2559878835218e-11,-0.467660841131956,0.243,0.616,2.03934752647435e-07,"Cyto_5","IL16"
3.62234795365939e-11,-0.4851412244717,0.421,0.825,5.88160637235675e-07,"Cyto_5","TNFSF10"
3.69442224509675e-11,-0.374749242326702,0.14,0.5,5.9986333993636e-07,"Cyto_5","IL10RB"
8.61345578608399e-11,-0.437617028331481,0.15,0.487,1.39856681598646e-06,"Cyto_5","TNFSF13B"
1.79575805891798e-10,-0.771701270639937,0.29,0.611,2.91577236026512e-06,"Cyto_5","CCL21"
3.54690603449888e-10,-0.363771597987232,0.093,0.422,5.75911132821584e-06,"Cyto_5","TNFRSF10B"
6.37067886950233e-10,-0.356113511372151,0.103,0.418,1.03440712804109e-05,"Cyto_5","IL15RA"
1.20667922737316e-09,-0.373022789923105,0.206,0.55,1.9592850614858e-05,"Cyto_5","ILRUN"
3.11979606200696e-09,-0.347670496858812,0.047,0.321,5.0656128658807e-05,"Cyto_5","TNFSF12"
6.2942820167431e-09,-0.394331945670063,0.271,0.606,0.000102200257105858,"Cyto_5","IFNGR2"
1.30702073321573e-08,-0.371571578911904,0.121,0.398,0.000212220956452238,"Cyto_5","IL18BP"
2.86713916102746e-08,-0.30290585146445,0.29,0.599,0.000465537385576028,"Cyto_5","IFNAR1"
4.13007895392279e-08,-1.04632068495566,0.579,0.786,0.000670600919748443,"Cyto_5","CCL19"
1.33176974405878e-07,-0.275359302908028,0.037,0.272,0.00216239453342824,"Cyto_5","IL15"
1.54424371652212e-07,-0.319812901355393,0.047,0.282,0.00250738852251697,"Cyto_5","CXCL16"
2.44050227972991e-07,-0.322734511109262,0.121,0.374,0.00396264355159745,"Cyto_5","TNFSF14"
3.77458541824907e-07,-0.317076857850211,0.243,0.516,0.00612879434361102,"Cyto_5","ILK"
3.90503324515414e-07,-0.289051446188685,0.047,0.269,0.00634060248015678,"Cyto_5","TNFAIP8L2"
5.41745313103491e-07,-0.293458120365862,0.037,0.252,0.00879631864886138,"Cyto_5","TNFAIP6"
7.70426079790782e-07,-0.296010671179441,0.121,0.365,0.0125094082575629,"Cyto_5","TNFRSF14"
8.18212834345315e-07,-0.308618020451045,0.019,0.22,0.0132853217912649,"Cyto_5","IFNG"
1.30326106637485e-06,-0.6459124407902,0.065,0.272,0.0211610499347285,"Cyto_5","CXCL10"
1.37096936641419e-06,-0.265346816336069,0.009,0.196,0.0222604296024672,"Cyto_5","TNFRSF9"
4.29871508182208e-06,-0.2531064960609,0.056,0.254,0.0697982367835451,"Cyto_5","TNFAIP8L1"
9.36612916595315e-06,-0.291629660117204,0.112,0.316,0.152077839267581,"Cyto_5","CCL2"
1.12760026538011e-05,-0.423215720623135,0.028,0.197,0.183088455089768,"Cyto_5","CCL17"
1.33120971974406e-05,-0.32688960354811,0.336,0.577,0.216148522194843,"Cyto_5","IL10RA"
1.62347795352842e-05,-0.251338570540933,0.028,0.194,0.26360411531441,"Cyto_5","CCL8"
6.14166209210755e-05,-0.296847561952464,0.112,0.284,0.997221673895503,"Cyto_5","IL1RN"
0.000139912173048043,-0.414827496943521,0.056,0.202,1,"Cyto_5","CCL22"
