"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.60874139325616e-42,0.422411459697788,0.417,0.157,2.61211340023003e-38,"1","CLEC14A"
1.82512521356345e-42,0.446023773089563,0.656,0.383,2.96345580926297e-38,"1","TRAJ23"
1.94086390100057e-42,0.476991066059903,0.821,0.605,3.15138071605463e-38,"1","FLT3LG"
3.38334320971013e-42,0.447123206055098,1,0.998,5.49353436960634e-38,"1","CST3"
4.7603086695046e-42,0.392296271911349,0.358,0.118,7.72931318667462e-38,"1","ITGA7"
8.18865602939054e-42,0.458645122712391,0.773,0.511,1.32959207949214e-37,"1","JAML"
1.05080869681258e-41,0.453647217277462,0.919,0.819,1.70619808101459e-37,"1","PPP2R5C"
1.10443456755833e-41,0.404409051239653,0.387,0.136,1.79327040734446e-37,"1","CD34"
1.70110649549264e-41,0.759806146198684,0.959,0.883,2.7620866167314e-37,"1","PTGDS"
2.11664466402461e-41,0.446632667659089,0.838,0.622,3.43679594097676e-37,"1","EIF4A2"
3.57454589123016e-41,0.490078671596016,0.916,0.754,5.80399016359041e-37,"1","CPVL"
4.03003534702188e-41,0.3751148978852,0.487,0.215,6.54356839295942e-37,"1","TRAJ6"
5.00556712189869e-41,0.765901428681329,0.68,0.423,8.1275393358269e-37,"1","TIMP3"
6.35348850061139e-41,0.371077331073129,0.967,0.893,1.03161592784427e-36,"1","SF3B1"
7.34365024023109e-41,0.533968455129525,0.616,0.333,1.19238848950632e-36,"1","SPIB"
9.84989158239423e-41,0.454993871635509,0.315,0.095,1.59932689623335e-36,"1","RGS5"
1.58310047405797e-40,0.259345427423211,1,1,2.57048023972793e-36,"1","EEF2"
1.75110565242843e-40,0.42855327822724,0.598,0.324,2.84327024784804e-36,"1","TRAJ29"
