"gene","corr_estimate","pvalue"
"LAMA5",-0.14832235298273,6.49951767284655e-100
"SVEP1",-0.148295795953065,7.05271989154019e-100
"EHD2",-0.148283182104821,7.33169173007693e-100
"PPP1R1A",-0.148203232194627,9.37462316227884e-100
"MAP3K6",-0.147958401639868,1.98829377413969e-99
"PPP1R13L",-0.14793503397568,2.13607395616197e-99
"SLURP1",-0.147881784126342,2.51506242341937e-99
"ITPRID2",-0.147676579151768,4.7168011886472e-99
"TBX18",-0.147561708687466,6.70427341308065e-99
"SEPTIN10",-0.14688235410278,5.33251360227872e-98
"EVPL",-0.14674933433986,7.99397180488571e-98
