"gene","corr_estimate","pvalue"
"PRDM1",0.121778401767757,9.96136887552946e-68
"CDYL2",0.121742914759806,1.08891970104188e-67
"TSPAN33",0.121660699580987,1.33831021115944e-67
"RAC1",0.121624230997074,1.46643879966985e-67
"MYL12A",0.121574004717058,1.66314681445029e-67
"DNAJA1",0.121084007890681,5.6628413098056e-67
"SLC8A1",0.120926363570214,8.38992542816957e-67
"CHCHD2",0.120799631418697,1.15037634393517e-66
"TRPM2",0.120706249357641,1.45128946001866e-66
"PLEKHA2",0.120394153623064,3.15096585262438e-66
"BNIP2",0.120284027895346,4.14032872269712e-66
"POLR2B",0.120202669253849,5.06496263566303e-66
"NFATC3",0.120035726717522,7.65624438753662e-66
"PBXIP1",0.11977806948149,1.44697256113551e-65
"CNPY3",0.119726091387416,1.64495793347126e-65
"MT1H",0.119673028453569,1.87493497180059e-65
"PSTPIP2",0.119657109806745,1.94998091940476e-65
"IQGAP1",0.119643269945726,2.01765480928577e-65
"FLII",0.119367810771157,3.97539309429904e-65
"ANTXR2",0.119120230299617,7.30318069052865e-65
"MT1G",0.118979398679838,1.031593536584e-64
"KRT6B",0.118923427540148,1.18323730466271e-64
"SPRR2A",0.118895166830522,1.2680471173606e-64
"TRAJ6",0.118774365281534,1.70435830011726e-64
"PRRC2A",0.118724921309225,1.92347648582048e-64
"TNFSF13",0.118516138146498,3.20359660261798e-64
"INCENP",0.118514514486815,3.21631973237123e-64
"IGHA1",0.118493502747229,3.38558340132321e-64
"MS4A7",0.118464482328239,3.63405162293005e-64
"AP3D1",0.118414038943024,4.10994200545268e-64
"SYNGR2",0.118250272319365,6.12612167829662e-64
"PIM2",0.1180255600802,1.0583974435798e-63
"PPP4R2",0.117977971492441,1.18816981288535e-63
"DCAF15",0.117852913303056,1.60982535021648e-63
"CDK6",0.117379686560306,5.06527820637886e-63
"HCST",0.117339197557982,5.58601259682744e-63
"PARP9",0.117291983076227,6.26095960130903e-63
"SLC9A3R1",0.117026847255445,1.18700381196546e-62
"MED15",0.117018910952705,1.209923568712e-62
"TMPO",0.116989555560469,1.298599232407e-62
"IL4R",0.116989523069575,1.29870088246399e-62
"KLF13",0.116942969018802,1.45280294784482e-62
"MFSD10",0.116861531539728,1.76744665195314e-62
"IRF7",0.116858610231952,1.77991514715966e-62
"PARK7",0.11682543806258,1.92779669066668e-62
"TBCB",0.116814814723297,1.97769602526045e-62
"P2RY8",0.11671085628315,2.5392860180269e-62
"NCF1",0.11665018308458,2.93778645720355e-62
"BRI3",0.11649758504213,4.23738605741334e-62
"PSME2",0.116439990932423,4.86499646382277e-62
"CCDC91",0.11643959300152,4.86964015873718e-62
"ZMIZ2",0.116183754197441,8.98643164637041e-62
"ATIC",0.116094910342557,1.11135157729012e-61
"MCM6",0.116077282138721,1.15917703891125e-61
"GLIPR1",0.115892771234641,1.80096112918091e-61
"UTP3",0.115852320418262,1.98341691376851e-61
"CD82",0.115825970326422,2.11206068459465e-61
"EIF3A",0.115804454101756,2.22324512236882e-61
"CSF3R",0.115767761332202,2.42646770575426e-61
"ACSL5",0.115560432556034,3.97545166556468e-61
"LIMS1",0.115307596632679,7.24986431524841e-61
"ZC3H12D",0.115283723747905,7.67252236809637e-61
"ZBP1",0.11525915347296,8.1331708555013e-61
"SAMD9L",0.115046452131923,1.34659338580722e-60
"PLBD2",0.114554876089518,4.3026662402274e-60
"CCNL1",0.114547820984954,4.37484063606872e-60
"ABI3",0.11454769737209,4.37611589998775e-60
"RUNX3",0.114534241276214,4.51717456505975e-60
"SCARF1",0.114504504814738,4.84516962325263e-60
"KRI1",0.114208788278763,9.71861835032554e-60
"PSMD13",0.114157060276367,1.09749234456125e-59
"PHPT1",0.114154099990829,1.10515253111085e-59
"SEC24C",0.1140119485385,1.54305682268173e-59
"KPNA4",0.113937410783985,1.83788629445485e-59
"CD8A",0.113832646039714,2.34943877617189e-59
"TRIM52",0.113757750641503,2.79990177736981e-59
"LEF1",0.113691585323636,3.26888246018097e-59
"GZMM",0.113684528578783,3.32330404626461e-59
"PIK3IP1",0.113629927271466,3.77605519696677e-59
"TRDC",0.113605624791838,3.99685096784137e-59
"TNFRSF9",0.113470455215515,5.48134392537271e-59
"CISH",0.113425331855598,6.09033071956663e-59
"CCL17",0.113384248020801,6.70320674227853e-59
"RASA3",0.113235096220263,9.49140921947128e-59
"TXLNA",0.112990734805935,1.67633671574063e-58
"UBXN6",0.112982487212245,1.70879300810132e-58
"SLFN12L",0.112943974924328,1.86883065877368e-58
"TRIM26",0.112923529643525,1.95977050586145e-58
"MAP3K14",0.112733787222164,3.04459377287381e-58
"FUBP1",0.112643198794137,3.75627523949829e-58
"CMPK2",0.112581019404094,4.33843026380155e-58
"ORAI2",0.112465467380278,5.66926569209694e-58
"RENBP",0.112395316737428,6.66819134758369e-58
"NAGK",0.112237391977669,9.605351274282e-58
"TNFSF14",0.112204228610388,1.03697834788066e-57
"IGLV3-1",0.111982872562477,1.72778919527367e-57
"PTGDR",0.11189020210321,2.13885679290652e-57
"ARHGEF2",0.111870955794636,2.2357460859451e-57
"LYSMD2",0.111818532188505,2.52239979430762e-57
"TSPOAP1",0.111795227611947,2.66131436257362e-57
"MGAT4A",0.111686501212061,3.41706452630636e-57
"BZW1",0.11166559330215,3.58522316491354e-57
"SLC25A28",0.11152543369239,4.94620621701513e-57
"EFTUD2",0.111335981985406,7.63650395169889e-57
"TRAJ28",0.111186987066402,1.07400941044451e-56
"TRBV27",0.111103482633582,1.29996094907189e-56
"TRAPPC10",0.111090681761606,1.33855532397977e-56
"IL24",0.110882731910778,2.15197255462644e-56
"CREBZF",0.110863589887738,2.24800857161058e-56
"CLASRP",0.110788372261126,2.66853526740028e-56
"DDX24",0.110735294348615,3.01159018348158e-56
"ZC3HAV1",0.110532728352912,4.77538725439247e-56
"KLRC1",0.110409118191902,6.32411286057222e-56
"DEDD2",0.11023016352499,9.4921433692699e-56
"MS4A1",0.110048433932222,1.43273572271643e-55
"ROCK1",0.109980124928679,1.67223395141436e-55
"MVP",0.109842931565829,2.28032299168334e-55
"SAP25",0.10955694877941,4.34741313647519e-55
"BTN3A3",0.109531912417521,4.59969147046871e-55
"G0S2",0.109391800831251,6.30552484978523e-55
"SMC1A",0.109331366441642,7.22362661014856e-55
"SNRNP70",0.109316533160873,7.46861026823191e-55
